Event,Location,Latitude,Longitude,Sample ID,Depth rel [m],CaCO3 [%],TOC [%],TOC std dev,d13C_PDB,d13C_stdev,d18O_PDB,d18O_stdev,d13C_org_PDB,d13C_org_stdev,d15N_air,d15N_stdev
Kulstirenden,Denmark,55.3431,12.4472,KU 4.6,0.1365,73.27,0.45,,1.61,0,-0.96,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 4.7,0.1415,73.7,0.43,,1.54,0,-1.14,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 4.8,0.1465,74.8,0.41,,1.62,0,-0.99,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 4.9,0.1515,74.21,0.36,,1.53,0,-1.21,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 4.10,0.1565,73.52,0.51,,1.66,0,-0.98,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 4.11,0.1615,74.71,0.34,,1.64,0.041,-1.08,0.085,-25.96,0.099,7.56,1.684
Kulstirenden,Denmark,55.3431,12.4472,KU 4.12,0.1665,74.98,0.38,,1.58,0,-1.09,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 5.1,0.1715,70.72,0.4,,1.55,0,-1.18,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 5.2,0.1765,75.6,0.36,,1.67,0,-0.96,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 5.3,0.1815,78.26,0.17,,1.59,0,-1.13,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 5.4,0.1865,81.34,0.3,,1.55,0,-1.19,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 5.5,0.1915,80.32,0.01,,1.54,0,-1.04,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 5.6,0.1965,79.95,0.35,,1.6,0.009,-1,0.067,-26,0.388,3.45,1.52
Kulstirenden,Denmark,55.3431,12.4472,KU 5.7,0.2015,79.89,0.34,,1.54,0,-1.09,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 5.8,0.2065,79.81,0.28,,1.48,0,-1.19,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 5.9,0.2115,81.07,0.29,,1.5,0,-1.12,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 5.10,0.2165,81.42,0.28,,1.53,0,-1.05,0,-26.73,0.941,1.2,1.434
Kulstirenden,Denmark,55.3431,12.4472,KU 5.11,0.2215,81.52,0.26,,1.51,0,-1.2,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 5.12,0.2265,0,0.23,,1.5,0,-1.17,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 5.13,0.2315,79.51,0.32,,1.51,0,-1.15,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 5.14,0.2365,79.2,0.32,,1.53,0,-1.12,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 5.15,0.2415,76.31,0.35,,1.52,0,-1.07,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 5.16,0.2465,77.18,0.33,,1.51,0,-1.02,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 6.1,0.2515,77.71,0.01,,1.64,0,-0.9,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 6.2,0.2565,75.9,0.26,,1.57,0,-0.96,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 6.3,0.2615,73.92,0.45,,1.56,0.07,-1.01,0.182,-24.43,0.029,8.84,0.736
Kulstirenden,Denmark,55.3431,12.4472,KU 6.4,0.2665,77.27,0.21,,1.57,0,-1,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 6.5,0.2715,79.53,0.01,,1.43,0,-1.06,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 6.6,0.2765,79.72,0.2,,1.48,0,-1.09,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 6.7,0.2815,78.73,0.01,,1.52,0,-0.99,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 6.8,0.2865,79.23,0.01,,1.55,0.062,-0.9,0.028,-24.67,0.189,13.37,1.321
Kulstirenden,Denmark,55.3431,12.4472,KU 6.9,0.2915,76.51,0.42,,1.52,0,-0.95,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 6.10,0.2965,80.08,0.19,,1.48,0,-1,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 6.11,0.3015,83.02,0.01,,1.48,0,-1.09,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 6.12,0.3065,84.97,0.12,,1.48,0,-1.19,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 6.13,0.3115,84.17,0.14,,1.4,0,-1.11,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 6.14,0.3165,84.72,0.23,,1.54,0,-1.16,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 7.1,0.3215,85.15,0.18,,1.4,0,-1.56,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 7.2,0.3265,90.07,0.11,,1.42,0,-1.88,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 7.3,0.3315,89.06,0.21,,1.52,0.047,-1.77,0.034,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 7.4,0.3365,91.94,0.06,,1.5,0,-1.67,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 7.5,0.3415,93.69,0.1,,1.48,0,-1.91,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 7.6,0.3465,94.82,0.06,,1.45,0,-2.15,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 7.7,0.3515,94.03,0.19,,1.5,0,-1.95,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 7.8,0.3565,95.12,0.01,,1.51,0,-1.96,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 7.9,0.3615,97.19,0.01,,1.5,0,-2.02,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 7.10,0.3665,96.73,0.2,,1.43,0,-2.13,0,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 8,0.4,96.36,0.11,,1.52,0.014,-2.01,0.041,-25.1,0.3,,
Kulstirenden,Denmark,55.3431,12.4472,KU 9,0.45,98.85,0.01,,1.71,0.026,-0.83,0.07,,,,
Kulstirenden,Denmark,55.3431,12.4472,KU 10,0.5,97.72,0.04,,1.52,0.039,-1.58,0.043,,,,
Hoejerup,Denmark,55.2789,12.4458,HS -1,-0.05,97.18,0.11,,1.82,0.03,-1.4,0.04,,,,
Hoejerup,Denmark,55.2789,12.4458,HS 0,0,41.47,0.17,,1.75,0,-0.92,0,,,,
Hoejerup,Denmark,55.2789,12.4458,HS 1,0.005,11.86,0.12,,1.26,0.03,-1.55,0.14,,,,
Hoejerup,Denmark,55.2789,12.4458,HS 2,0.015,36.04,0.07,,1.61,0.02,-0.91,0.09,,,,
Hoejerup,Denmark,55.2789,12.4458,HS 3,0.025,60.22,0.03,,1.69,0.09,-0.58,0.2,,,,
Hoejerup,Denmark,55.2789,12.4458,HS 4,0.035,68.42,0.21,,1.54,0,-0.75,0,,,,
Hoejerup,Denmark,55.2789,12.4458,HS 5,0.045,77.23,0.2,,1.62,0.03,-0.61,0.09,,,,
Hoejerup,Denmark,55.2789,12.4458,HS 6,0.055,82.88,0.16,,1.71,0.04,-0.46,0.18,,,,
Hoejerup,Denmark,55.2789,12.4458,HS 7,0.065,95.75,0.11,,1.69,0.03,-0.83,0.04,,,,
