Type,Study,Site,Depth,Depth type,Age (Ma),Age Frame,Age (Ma relative to K-Pg),d18O,Temperature (deg C),?Temperature
,this study,ODP 1209,256.3425,rmcd adj,64.723,D.-T. et al. 2014,1.299,-0.914,13.5,2.14
,this study,ODP 1209,256.3525,rmcd adj,64.725,D.-T. et al. 2014,1.297,-0.861,13.26,1.9
,this study,ODP 1209,256.3625,rmcd adj,64.727,D.-T. et al. 2014,1.295,-0.893,13.41,2.05
,this study,ODP 1209,256.3725,rmcd adj,64.729,D.-T. et al. 2014,1.293,-0.924,13.55,2.19
,this study,ODP 1209,256.3825,rmcd adj,64.731,D.-T. et al. 2014,1.291,-0.826,13.1,1.74
,this study,ODP 1209,256.3925,rmcd adj,64.733,D.-T. et al. 2014,1.289,-0.886,13.38,2.02
,this study,ODP 1209,256.4025,rmcd adj,64.736,D.-T. et al. 2014,1.286,-0.805,13.01,1.65
,this study,ODP 1209,256.4125,rmcd adj,64.738,D.-T. et al. 2014,1.284,-0.777,12.88,1.52
,this study,ODP 1209,256.4225,rmcd adj,64.74,D.-T. et al. 2014,1.282,-0.663,12.37,1.01
,this study,ODP 1209,256.4325,rmcd adj,64.742,D.-T. et al. 2014,1.28,-0.667,12.38,1.02
,this study,ODP 1209,256.4425,rmcd adj,64.744,D.-T. et al. 2014,1.278,-0.654,12.32,0.96
,this study,ODP 1209,256.4525,rmcd adj,64.747,D.-T. et al. 2014,1.275,-0.662,12.36,1
,this study,ODP 1209,256.4625,rmcd adj,64.749,D.-T. et al. 2014,1.273,-0.719,12.62,1.26
,this study,ODP 1209,256.4725,rmcd adj,64.751,D.-T. et al. 2014,1.271,-0.639,12.26,0.9
,this study,ODP 1209,256.4725,rmcd adj,64.751,D.-T. et al. 2014,1.271,-0.657,12.33,0.97
,this study,ODP 1209,256.4825,rmcd adj,64.753,D.-T. et al. 2014,1.269,-0.624,12.19,0.83
,this study,ODP 1209,256.4925,rmcd adj,64.755,D.-T. et al. 2014,1.267,-0.618,12.16,0.8
,this study,ODP 1209,256.5025,rmcd adj,64.758,D.-T. et al. 2014,1.264,-0.697,12.52,1.16
,this study,ODP 1209,256.5125,rmcd adj,64.76,D.-T. et al. 2014,1.262,-0.722,12.63,1.27
,this study,ODP 1209,256.5125,rmcd adj,64.76,D.-T. et al. 2014,1.262,-0.822,13.09,1.73
,this study,ODP 1209,256.5225,rmcd adj,64.762,D.-T. et al. 2014,1.26,-0.615,12.15,0.79
,this study,ODP 1209,256.5325,rmcd adj,64.764,D.-T. et al. 2014,1.258,-0.677,12.43,1.07
,this study,ODP 1209,256.5425,rmcd adj,64.766,D.-T. et al. 2014,1.256,-0.706,12.56,1.2
,this study,ODP 1209,256.5525,rmcd adj,64.769,D.-T. et al. 2014,1.253,-0.745,12.74,1.38
,this study,ODP 1209,256.5625,rmcd adj,64.771,D.-T. et al. 2014,1.251,-0.712,12.59,1.23
,this study,ODP 1209,256.5725,rmcd adj,64.773,D.-T. et al. 2014,1.249,-0.76,12.8,1.44
,this study,ODP 1209,256.5825,rmcd adj,64.775,D.-T. et al. 2014,1.247,-0.691,12.49,1.13
,this study,ODP 1209,256.5925,rmcd adj,64.777,D.-T. et al. 2014,1.245,-0.604,12.1,0.74
,this study,ODP 1209,256.6025,rmcd adj,64.78,D.-T. et al. 2014,1.242,-0.6,12.08,0.72
,this study,ODP 1209,256.6125,rmcd adj,64.782,D.-T. et al. 2014,1.24,-0.545,11.83,0.47
,this study,ODP 1209,256.6225,rmcd adj,64.784,D.-T. et al. 2014,1.238,-0.554,11.87,0.51
,this study,ODP 1209,256.6425,rmcd adj,64.788,D.-T. et al. 2014,1.234,-0.477,11.52,0.16
,this study,ODP 1209,256.6525,rmcd adj,64.791,D.-T. et al. 2014,1.231,-0.463,11.46,0.1
,this study,ODP 1209,256.6625,rmcd adj,64.793,D.-T. et al. 2014,1.229,-0.575,11.97,0.61
,this study,ODP 1209,256.6725,rmcd adj,64.795,D.-T. et al. 2014,1.227,-0.435,11.34,-0.02
,this study,ODP 1209,256.6825,rmcd adj,64.797,D.-T. et al. 2014,1.225,-0.32,10.82,-0.54
,this study,ODP 1209,256.6925,rmcd adj,64.799,D.-T. et al. 2014,1.223,-0.347,10.94,-0.42
,this study,ODP 1209,256.7025,rmcd adj,64.802,D.-T. et al. 2014,1.22,-0.415,11.25,-0.11
,this study,ODP 1209,256.7125,rmcd adj,64.804,D.-T. et al. 2014,1.218,-0.359,10.99,-0.37
,this study,ODP 1209,256.7125,rmcd adj,64.804,D.-T. et al. 2014,1.218,-0.315,10.8,-0.56
,this study,ODP 1209,256.7225,rmcd adj,64.806,D.-T. et al. 2014,1.216,-0.456,11.43,0.07
,this study,ODP 1209,256.7225,rmcd adj,64.806,D.-T. et al. 2014,1.216,-0.546,11.84,0.48
,this study,ODP 1209,256.7325,rmcd adj,64.808,D.-T. et al. 2014,1.214,-0.406,11.21,-0.15
,this study,ODP 1209,256.7425,rmcd adj,64.811,D.-T. et al. 2014,1.211,-0.383,11.1,-0.26
,this study,ODP 1209,256.7525,rmcd adj,64.813,D.-T. et al. 2014,1.209,-0.418,11.26,-0.1
,this study,ODP 1209,256.7625,rmcd adj,64.815,D.-T. et al. 2014,1.207,-0.429,11.31,-0.05
,this study,ODP 1209,256.7725,rmcd adj,64.817,D.-T. et al. 2014,1.205,-0.297,10.72,-0.64
,this study,ODP 1209,256.7825,rmcd adj,64.819,D.-T. et al. 2014,1.203,-0.355,10.98,-0.38
,this study,ODP 1209,256.7925,rmcd adj,64.822,D.-T. et al. 2014,1.2,-0.435,11.34,-0.02
,this study,ODP 1209,256.8025,rmcd adj,64.824,D.-T. et al. 2014,1.198,-0.383,11.1,-0.26
,this study,ODP 1209,256.8125,rmcd adj,64.826,D.-T. et al. 2014,1.196,-0.478,11.53,0.17
,this study,ODP 1209,256.8225,rmcd adj,64.828,D.-T. et al. 2014,1.194,-0.431,11.32,-0.04
,this study,ODP 1209,256.8325,rmcd adj,64.83,D.-T. et al. 2014,1.192,-0.575,11.97,0.61
,this study,ODP 1209,256.8425,rmcd adj,64.833,D.-T. et al. 2014,1.189,-0.664,12.37,1.01
,this study,ODP 1209,256.8525,rmcd adj,64.837,D.-T. et al. 2014,1.185,-0.673,12.41,1.05
,this study,ODP 1209,256.8625,rmcd adj,64.841,D.-T. et al. 2014,1.181,-0.767,12.83,1.47
,this study,ODP 1209,256.8725,rmcd adj,64.845,D.-T. et al. 2014,1.178,-0.746,12.74,1.38
,this study,ODP 1209,256.8825,rmcd adj,64.848,D.-T. et al. 2014,1.174,-0.584,12.01,0.65
,this study,ODP 1209,256.8925,rmcd adj,64.852,D.-T. et al. 2014,1.17,-0.845,13.19,1.83
,this study,ODP 1209,256.9025,rmcd adj,64.856,D.-T. et al. 2014,1.166,-0.703,12.54,1.19
,this study,ODP 1209,256.9125,rmcd adj,64.86,D.-T. et al. 2014,1.162,-0.97,13.76,2.4
,this study,ODP 1209,256.9225,rmcd adj,64.864,D.-T. et al. 2014,1.158,-0.898,13.43,2.07
,this study,ODP 1209,256.9325,rmcd adj,64.868,D.-T. et al. 2014,1.154,-1.096,14.34,2.98
,this study,ODP 1209,256.9425,rmcd adj,64.871,D.-T. et al. 2014,1.151,-1.201,14.82,3.46
,this study,ODP 1209,256.9525,rmcd adj,64.875,D.-T. et al. 2014,1.147,-1.055,14.15,2.79
,this study,ODP 1209,256.9625,rmcd adj,64.879,D.-T. et al. 2014,1.143,-1.003,13.91,2.55
,this study,ODP 1209,256.9725,rmcd adj,64.883,D.-T. et al. 2014,1.139,-1.171,14.68,3.32
,this study,ODP 1209,256.9825,rmcd adj,64.887,D.-T. et al. 2014,1.135,-0.947,13.65,2.3
,this study,ODP 1209,256.9825,rmcd adj,64.887,D.-T. et al. 2014,1.135,-0.79,12.94,1.58
,this study,ODP 1209,256.9925,rmcd adj,64.891,D.-T. et al. 2014,1.131,-1.054,14.14,2.78
,this study,ODP 1209,257.0025,rmcd adj,64.895,D.-T. et al. 2014,1.128,-1.094,14.33,2.97
,this study,ODP 1209,257.0125,rmcd adj,64.898,D.-T. et al. 2014,1.124,-1.125,14.47,3.11
,this study,ODP 1209,257.0225,rmcd adj,64.902,D.-T. et al. 2014,1.12,-1.038,14.07,2.71
,this study,ODP 1209,257.0325,rmcd adj,64.906,D.-T. et al. 2014,1.116,-1.028,14.03,2.67
,this study,ODP 1209,257.0425,rmcd adj,64.91,D.-T. et al. 2014,1.112,-0.941,13.63,2.27
,this study,ODP 1209,257.0525,rmcd adj,64.914,D.-T. et al. 2014,1.108,-1.121,14.45,3.09
,this study,ODP 1209,257.0625,rmcd adj,64.918,D.-T. et al. 2014,1.104,-0.963,13.73,2.37
,this study,ODP 1209,257.0725,rmcd adj,64.921,D.-T. et al. 2014,1.101,-0.933,13.59,2.23
,this study,ODP 1209,257.0825,rmcd adj,64.925,D.-T. et al. 2014,1.097,-0.959,13.71,2.35
,this study,ODP 1209,257.0925,rmcd adj,64.929,D.-T. et al. 2014,1.093,-0.915,13.51,2.15
,this study,ODP 1209,257.1025,rmcd adj,64.933,D.-T. et al. 2014,1.089,-0.825,13.1,1.74
,this study,ODP 1209,257.1125,rmcd adj,64.935,D.-T. et al. 2014,1.087,-0.739,12.71,1.35
,this study,ODP 1209,257.1225,rmcd adj,64.937,D.-T. et al. 2014,1.085,-0.861,13.26,1.9
,this study,ODP 1209,257.1325,rmcd adj,64.94,D.-T. et al. 2014,1.082,-0.856,13.24,1.88
,this study,ODP 1209,257.1425,rmcd adj,64.942,D.-T. et al. 2014,1.08,-0.872,13.31,1.95
,this study,ODP 1209,257.1525,rmcd adj,64.944,D.-T. et al. 2014,1.078,-0.895,13.42,2.06
,this study,ODP 1209,257.1625,rmcd adj,64.947,D.-T. et al. 2014,1.075,-0.827,13.11,1.75
,this study,ODP 1209,257.1725,rmcd adj,64.949,D.-T. et al. 2014,1.073,-0.784,12.91,1.55
,this study,ODP 1209,257.1825,rmcd adj,64.951,D.-T. et al. 2014,1.071,-0.751,12.76,1.4
,this study,ODP 1209,257.1925,rmcd adj,64.954,D.-T. et al. 2014,1.068,-0.848,13.2,1.85
,this study,ODP 1209,257.2025,rmcd adj,64.956,D.-T. et al. 2014,1.066,-0.766,12.83,1.47
,this study,ODP 1209,257.2125,rmcd adj,64.958,D.-T. et al. 2014,1.064,-0.761,12.81,1.45
,this study,ODP 1209,257.2225,rmcd adj,64.961,D.-T. et al. 2014,1.061,-0.742,12.72,1.36
,this study,ODP 1209,257.2325,rmcd adj,64.963,D.-T. et al. 2014,1.059,-0.721,12.63,1.27
,this study,ODP 1209,257.2425,rmcd adj,64.965,D.-T. et al. 2014,1.057,-0.694,12.51,1.15
,this study,ODP 1209,257.2525,rmcd adj,64.968,D.-T. et al. 2014,1.054,-0.646,12.29,0.93
,this study,ODP 1209,257.2625,rmcd adj,64.97,D.-T. et al. 2014,1.052,-0.688,12.48,1.12
,this study,ODP 1209,257.2725,rmcd adj,64.972,D.-T. et al. 2014,1.05,-0.664,12.37,1.01
,this study,ODP 1209,257.2925,rmcd adj,64.977,D.-T. et al. 2014,1.045,-0.665,12.37,1.01
,this study,ODP 1209,257.3025,rmcd adj,64.979,D.-T. et al. 2014,1.043,-0.609,12.12,0.76
,this study,ODP 1209,257.3125,rmcd adj,64.982,D.-T. et al. 2014,1.04,-0.653,12.32,0.96
,this study,ODP 1209,257.3325,rmcd adj,64.986,D.-T. et al. 2014,1.036,-0.615,12.14,0.79
,this study,ODP 1209,257.3425,rmcd adj,64.989,D.-T. et al. 2014,1.033,-0.552,11.86,0.5
,this study,ODP 1209,257.3525,rmcd adj,64.991,D.-T. et al. 2014,1.031,-0.569,11.94,0.58
,this study,ODP 1209,257.3625,rmcd adj,64.993,D.-T. et al. 2014,1.029,-0.61,12.12,0.76
,this study,ODP 1209,257.3725,rmcd adj,64.996,D.-T. et al. 2014,1.026,-0.546,11.83,0.47
,this study,ODP 1209,257.3825,rmcd adj,64.998,D.-T. et al. 2014,1.024,-0.568,11.94,0.58
,this study,ODP 1209,257.3925,rmcd adj,65,D.-T. et al. 2014,1.022,-0.492,11.59,0.23
,this study,ODP 1209,257.4025,rmcd adj,65.003,D.-T. et al. 2014,1.019,-0.516,11.7,0.34
,this study,ODP 1209,257.4125,rmcd adj,65.005,D.-T. et al. 2014,1.017,-0.556,11.88,0.52
,this study,ODP 1209,257.4225,rmcd adj,65.007,D.-T. et al. 2014,1.015,-0.615,12.15,0.79
,this study,ODP 1209,257.4325,rmcd adj,65.01,D.-T. et al. 2014,1.012,-0.588,12.02,0.66
,this study,ODP 1209,257.4425,rmcd adj,65.012,D.-T. et al. 2014,1.01,-0.724,12.64,1.28
,this study,ODP 1209,257.4525,rmcd adj,65.015,D.-T. et al. 2014,1.007,-0.884,13.37,2.01
,this study,ODP 1209,257.4625,rmcd adj,65.017,D.-T. et al. 2014,1.005,-0.78,12.89,1.53
,this study,ODP 1209,257.4725,rmcd adj,65.019,D.-T. et al. 2014,1.003,-0.916,13.51,2.15
,this study,ODP 1209,257.4825,rmcd adj,65.022,D.-T. et al. 2014,1,-0.924,13.55,2.19
,this study,ODP 1209,257.4925,rmcd adj,65.024,D.-T. et al. 2014,0.998,-0.893,13.41,2.05
,this study,ODP 1209,257.5025,rmcd adj,65.026,D.-T. et al. 2014,0.996,-1.096,14.33,2.97
,this study,ODP 1209,257.5125,rmcd adj,65.029,D.-T. et al. 2014,0.993,-0.967,13.75,2.39
,this study,ODP 1209,257.5225,rmcd adj,65.031,D.-T. et al. 2014,0.991,-1.053,14.14,2.78
,this study,ODP 1209,257.5325,rmcd adj,65.033,D.-T. et al. 2014,0.989,-0.954,13.69,2.33
,this study,ODP 1209,257.5425,rmcd adj,65.035,D.-T. et al. 2014,0.987,-0.931,13.58,2.22
,this study,ODP 1209,257.5525,rmcd adj,65.037,D.-T. et al. 2014,0.985,-0.836,13.15,1.79
,this study,ODP 1209,257.5625,rmcd adj,65.038,D.-T. et al. 2014,0.984,-0.92,13.53,2.17
,this study,ODP 1209,257.5725,rmcd adj,65.04,D.-T. et al. 2014,0.982,-0.937,13.61,2.25
,this study,ODP 1209,257.5825,rmcd adj,65.041,D.-T. et al. 2014,0.981,-0.955,13.69,2.33
,this study,ODP 1209,257.5925,rmcd adj,65.043,D.-T. et al. 2014,0.979,-0.894,13.41,2.05
,this study,ODP 1209,257.6025,rmcd adj,65.044,D.-T. et al. 2014,0.978,-0.962,13.72,2.36
,this study,ODP 1209,257.6125,rmcd adj,65.046,D.-T. et al. 2014,0.976,-1.011,13.95,2.59
,this study,ODP 1209,257.6225,rmcd adj,65.048,D.-T. et al. 2014,0.974,-0.918,13.52,2.16
,this study,ODP 1209,257.6325,rmcd adj,65.049,D.-T. et al. 2014,0.973,-0.978,13.8,2.44
,this study,ODP 1209,257.6425,rmcd adj,65.051,D.-T. et al. 2014,0.971,-1.012,13.95,2.59
,this study,ODP 1209,257.6525,rmcd adj,65.052,D.-T. et al. 2014,0.97,-0.935,13.6,2.24
,this study,ODP 1209,257.6625,rmcd adj,65.054,D.-T. et al. 2014,0.968,-0.829,13.12,1.76
,this study,ODP 1209,257.6725,rmcd adj,65.055,D.-T. et al. 2014,0.967,-0.877,13.34,1.98
,this study,ODP 1209,257.6825,rmcd adj,65.057,D.-T. et al. 2014,0.965,-0.902,13.45,2.09
,this study,ODP 1209,257.6925,rmcd adj,65.058,D.-T. et al. 2014,0.964,-0.881,13.35,1.99
,this study,ODP 1209,257.7025,rmcd adj,65.06,D.-T. et al. 2014,0.962,-1.005,13.92,2.56
,this study,ODP 1209,257.7125,rmcd adj,65.061,D.-T. et al. 2014,0.961,-0.95,13.67,2.31
,this study,ODP 1209,257.7225,rmcd adj,65.063,D.-T. et al. 2014,0.959,-0.909,13.48,2.12
,this study,ODP 1209,257.7325,rmcd adj,65.064,D.-T. et al. 2014,0.958,-1.058,14.16,2.8
,this study,ODP 1209,257.7425,rmcd adj,65.066,D.-T. et al. 2014,0.956,-1.06,14.17,2.81
,this study,ODP 1209,257.7525,rmcd adj,65.067,D.-T. et al. 2014,0.955,-1.071,14.22,2.86
,this study,ODP 1209,257.7625,rmcd adj,65.069,D.-T. et al. 2014,0.953,-0.905,13.46,2.1
,this study,ODP 1209,257.7725,rmcd adj,65.07,D.-T. et al. 2014,0.952,-0.997,13.88,2.52
,this study,ODP 1209,257.7825,rmcd adj,65.072,D.-T. et al. 2014,0.95,-0.979,13.8,2.44
,this study,ODP 1209,257.7925,rmcd adj,65.073,D.-T. et al. 2014,0.949,-0.966,13.74,2.38
,this study,ODP 1209,257.8025,rmcd adj,65.075,D.-T. et al. 2014,0.947,-0.967,13.75,2.39
,this study,ODP 1209,257.8125,rmcd adj,65.076,D.-T. et al. 2014,0.946,-1.057,14.16,2.8
,this study,ODP 1209,257.8225,rmcd adj,65.078,D.-T. et al. 2014,0.944,-1.138,14.53,3.17
,this study,ODP 1209,257.8325,rmcd adj,65.079,D.-T. et al. 2014,0.943,-1.184,14.74,3.38
,this study,ODP 1209,257.8425,rmcd adj,65.081,D.-T. et al. 2014,0.941,-1.142,14.55,3.19
,this study,ODP 1209,257.8525,rmcd adj,65.082,D.-T. et al. 2014,0.94,-1.026,14.02,2.66
,this study,ODP 1209,257.8625,rmcd adj,65.084,D.-T. et al. 2014,0.938,-0.98,13.8,2.44
,this study,ODP 1209,257.8725,rmcd adj,65.085,D.-T. et al. 2014,0.937,-0.847,13.2,1.84
,this study,ODP 1209,257.8825,rmcd adj,65.087,D.-T. et al. 2014,0.935,-0.895,13.42,2.06
,this study,ODP 1209,257.8925,rmcd adj,65.088,D.-T. et al. 2014,0.934,-0.939,13.62,2.26
,this study,ODP 1209,257.9025,rmcd adj,65.09,D.-T. et al. 2014,0.932,-0.791,12.94,1.58
,this study,ODP 1209,257.9125,rmcd adj,65.091,D.-T. et al. 2014,0.931,-0.899,13.43,2.07
,this study,ODP 1209,257.9180275,rmcd adj,65.092,D.-T. et al. 2014,0.93,-0.835,13.15,1.79
,this study,ODP 1209,257.9225,rmcd adj,65.093,D.-T. et al. 2014,0.929,-0.961,13.72,2.36
,this study,ODP 1209,257.9284862,rmcd adj,65.094,D.-T. et al. 2014,0.928,-1.029,14.03,2.67
,this study,ODP 1209,257.9325,rmcd adj,65.094,D.-T. et al. 2014,0.928,-0.943,13.64,2.28
,this study,ODP 1209,257.9425,rmcd adj,65.096,D.-T. et al. 2014,0.926,-0.948,13.66,2.3
,this study,ODP 1209,257.9494037,rmcd adj,65.097,D.-T. et al. 2014,0.925,-0.855,13.23,1.87
,this study,ODP 1209,257.9525,rmcd adj,65.098,D.-T. et al. 2014,0.924,-0.941,13.63,2.27
,this study,ODP 1209,257.9598624,rmcd adj,65.099,D.-T. et al. 2014,0.923,-0.693,12.5,1.14
,this study,ODP 1209,257.9625,rmcd adj,65.099,D.-T. et al. 2014,0.923,-0.865,13.28,1.92
,this study,ODP 1209,257.9703211,rmcd adj,65.1,D.-T. et al. 2014,0.922,-0.763,12.82,1.46
,this study,ODP 1209,257.9725,rmcd adj,65.101,D.-T. et al. 2014,0.921,-0.813,13.04,1.68
,this study,ODP 1209,257.9807798,rmcd adj,65.102,D.-T. et al. 2014,0.92,-0.833,13.13,1.77
,this study,ODP 1209,257.9825,rmcd adj,65.102,D.-T. et al. 2014,0.92,-0.982,13.82,2.46
,this study,ODP 1209,257.9912385,rmcd adj,65.103,D.-T. et al. 2014,0.919,-0.83,13.12,1.76
,this study,ODP 1209,257.9925,rmcd adj,65.104,D.-T. et al. 2014,0.918,-0.843,13.18,1.82
,this study,ODP 1209,258.0025,rmcd adj,65.105,D.-T. et al. 2014,0.917,-0.91,13.49,2.13
,this study,ODP 1209,258.012156,rmcd adj,65.107,D.-T. et al. 2014,0.915,-0.863,13.27,1.91
,this study,ODP 1209,258.0125,rmcd adj,65.107,D.-T. et al. 2014,0.915,-1.007,13.93,2.57
,this study,ODP 1209,258.0221833,rmcd adj,65.108,D.-T. et al. 2014,0.914,-0.875,13.33,1.97
,this study,ODP 1209,258.0225,rmcd adj,65.108,D.-T. et al. 2014,0.914,-0.901,13.44,2.08
,this study,ODP 1209,258.0309167,rmcd adj,65.109,D.-T. et al. 2014,0.913,-0.852,13.22,1.86
,this study,ODP 1209,258.0325,rmcd adj,65.11,D.-T. et al. 2014,0.912,-0.837,13.15,1.79
,this study,ODP 1209,258.03965,rmcd adj,65.111,D.-T. et al. 2014,0.911,-0.948,13.66,2.3
,this study,ODP 1209,258.0425,rmcd adj,65.111,D.-T. et al. 2014,0.911,-0.868,13.3,1.94
,this study,ODP 1209,258.0483833,rmcd adj,65.112,D.-T. et al. 2014,0.91,-0.834,13.14,1.78
,this study,ODP 1209,258.0525,rmcd adj,65.113,D.-T. et al. 2014,0.909,-0.79,12.94,1.58
,this study,ODP 1209,258.0571167,rmcd adj,65.113,D.-T. et al. 2014,0.909,-0.956,13.69,2.34
,this study,ODP 1209,258.0625,rmcd adj,65.114,D.-T. et al. 2014,0.908,-0.899,13.43,2.07
,this study,ODP 1209,258.06585,rmcd adj,65.115,D.-T. et al. 2014,0.907,-0.888,13.39,2.03
,this study,ODP 1209,258.0725,rmcd adj,65.116,D.-T. et al. 2014,0.906,-0.924,13.55,2.19
,this study,ODP 1209,258.0745833,rmcd adj,65.116,D.-T. et al. 2014,0.906,-0.831,13.13,1.77
,this study,ODP 1209,258.0825,rmcd adj,65.117,D.-T. et al. 2014,0.905,-0.912,13.5,2.14
,this study,ODP 1209,258.0833167,rmcd adj,65.117,D.-T. et al. 2014,0.905,-0.847,13.2,1.84
,this study,ODP 1209,258.09205,rmcd adj,65.119,D.-T. et al. 2014,0.903,-0.886,13.38,2.02
,this study,ODP 1209,258.0925,rmcd adj,65.119,D.-T. et al. 2014,0.903,-0.824,13.1,1.74
,this study,ODP 1209,258.1007833,rmcd adj,65.12,D.-T. et al. 2014,0.902,-0.806,13.01,1.65
,this study,ODP 1209,258.1025,rmcd adj,65.12,D.-T. et al. 2014,0.902,-0.844,13.18,1.82
,this study,ODP 1209,258.1125,rmcd adj,65.122,D.-T. et al. 2014,0.9,-0.862,13.27,1.91
,this study,ODP 1209,258.1225,rmcd adj,65.123,D.-T. et al. 2014,0.899,-0.751,12.76,1.4
,this study,ODP 1209,258.1325,rmcd adj,65.125,D.-T. et al. 2014,0.897,-0.727,12.65,1.29
,this study,ODP 1209,258.1425,rmcd adj,65.126,D.-T. et al. 2014,0.896,-0.831,13.13,1.77
,this study,ODP 1209,258.1525,rmcd adj,65.128,D.-T. et al. 2014,0.894,-0.954,13.69,2.33
,this study,ODP 1209,258.1625,rmcd adj,65.129,D.-T. et al. 2014,0.893,-0.896,13.42,2.06
,this study,ODP 1209,258.1725,rmcd adj,65.131,D.-T. et al. 2014,0.891,-0.789,12.93,1.57
,this study,ODP 1209,258.1825,rmcd adj,65.133,D.-T. et al. 2014,0.889,-0.79,12.94,1.58
,this study,ODP 1209,258.1925,rmcd adj,65.138,D.-T. et al. 2014,0.884,-0.708,12.57,1.21
,this study,ODP 1209,258.2025,rmcd adj,65.144,D.-T. et al. 2014,0.878,-0.692,12.49,1.13
,this study,ODP 1209,258.2125,rmcd adj,65.149,D.-T. et al. 2014,0.873,-0.497,11.61,0.25
,this study,ODP 1209,258.2225,rmcd adj,65.154,D.-T. et al. 2014,0.868,-0.487,11.57,0.21
,this study,ODP 1209,258.2325,rmcd adj,65.159,D.-T. et al. 2014,0.863,-0.374,11.06,-0.3
,this study,ODP 1209,258.2425,rmcd adj,65.164,D.-T. et al. 2014,0.858,-0.389,11.13,-0.23
,this study,ODP 1209,258.2525,rmcd adj,65.169,D.-T. et al. 2014,0.853,-0.529,11.76,0.4
,this study,ODP 1209,258.2625,rmcd adj,65.175,D.-T. et al. 2014,0.847,-0.601,12.08,0.72
,this study,ODP 1209,258.2725,rmcd adj,65.18,D.-T. et al. 2014,0.842,-0.752,12.77,1.41
,this study,ODP 1209,258.2825,rmcd adj,65.185,D.-T. et al. 2014,0.837,-0.73,12.67,1.31
,this study,ODP 1209,258.2925,rmcd adj,65.19,D.-T. et al. 2014,0.832,-0.906,13.46,2.11
,this study,ODP 1209,258.3025,rmcd adj,65.195,D.-T. et al. 2014,0.827,-0.727,12.65,1.29
,this study,ODP 1209,258.3125,rmcd adj,65.2,D.-T. et al. 2014,0.822,-0.772,12.86,1.5
,this study,ODP 1209,258.3325,rmcd adj,65.211,D.-T. et al. 2014,0.811,-0.639,12.25,0.89
,this study,ODP 1209,258.3425,rmcd adj,65.216,D.-T. et al. 2014,0.806,-0.648,12.3,0.94
,this study,ODP 1209,258.3525,rmcd adj,65.221,D.-T. et al. 2014,0.801,-0.689,12.48,1.12
,this study,ODP 1209,258.3625,rmcd adj,65.226,D.-T. et al. 2014,0.796,-0.647,12.29,0.93
,this study,ODP 1209,258.3725,rmcd adj,65.228,D.-T. et al. 2014,0.794,-0.747,12.74,1.38
,this study,ODP 1209,258.3825,rmcd adj,65.23,D.-T. et al. 2014,0.792,-0.732,12.68,1.32
,this study,ODP 1209,258.3925,rmcd adj,65.233,D.-T. et al. 2014,0.789,-0.599,12.07,0.72
,this study,ODP 1209,258.4025,rmcd adj,65.235,D.-T. et al. 2014,0.787,-0.539,11.8,0.45
,this study,ODP 1209,258.4125,rmcd adj,65.237,D.-T. et al. 2014,0.785,-0.491,11.59,0.23
,this study,ODP 1209,258.4225,rmcd adj,65.24,D.-T. et al. 2014,0.782,-0.349,10.95,-0.41
,this study,ODP 1209,258.4325,rmcd adj,65.242,D.-T. et al. 2014,0.78,-0.371,11.05,-0.31
,this study,ODP 1209,258.4425,rmcd adj,65.245,D.-T. et al. 2014,0.778,-0.249,10.5,-0.86
,this study,ODP 1209,258.4525,rmcd adj,65.247,D.-T. et al. 2014,0.775,-0.285,10.66,-0.7
,this study,ODP 1209,258.4625,rmcd adj,65.249,D.-T. et al. 2014,0.773,-0.312,10.79,-0.57
,this study,ODP 1209,258.4725,rmcd adj,65.252,D.-T. et al. 2014,0.77,-0.366,11.03,-0.33
,this study,ODP 1209,258.4825,rmcd adj,65.254,D.-T. et al. 2014,0.768,-0.755,12.78,1.42
,this study,ODP 1209,258.4925,rmcd adj,65.256,D.-T. et al. 2014,0.766,-0.749,12.75,1.4
,this study,ODP 1209,258.5025,rmcd adj,65.259,D.-T. et al. 2014,0.763,-0.677,12.43,1.07
,this study,ODP 1209,258.5125,rmcd adj,65.261,D.-T. et al. 2014,0.761,-0.658,12.34,0.98
,this study,ODP 1209,258.5225,rmcd adj,65.263,D.-T. et al. 2014,0.759,-0.7,12.53,1.17
,this study,ODP 1209,258.5325,rmcd adj,65.266,D.-T. et al. 2014,0.756,-0.655,12.33,0.97
,this study,ODP 1209,258.5425,rmcd adj,65.268,D.-T. et al. 2014,0.754,-0.721,12.63,1.27
,this study,ODP 1209,258.5525,rmcd adj,65.271,D.-T. et al. 2014,0.752,-0.757,12.79,1.43
,this study,ODP 1209,258.5625,rmcd adj,65.273,D.-T. et al. 2014,0.749,-0.845,13.19,1.83
,this study,ODP 1209,258.5725,rmcd adj,65.275,D.-T. et al. 2014,0.747,-0.883,13.36,2
,this study,ODP 1209,258.5825,rmcd adj,65.278,D.-T. et al. 2014,0.744,-0.894,13.41,2.05
,this study,ODP 1209,258.5925,rmcd adj,65.28,D.-T. et al. 2014,0.742,-0.841,13.17,1.81
,this study,ODP 1209,258.6025,rmcd adj,65.282,D.-T. et al. 2014,0.74,-0.849,13.21,1.85
,this study,ODP 1209,258.6125,rmcd adj,65.285,D.-T. et al. 2014,0.737,-0.769,12.84,1.48
,this study,ODP 1209,258.6225,rmcd adj,65.287,D.-T. et al. 2014,0.735,-0.708,12.57,1.21
