Type,Study,Site,Depth,Depth type,Age (Ma),Age Frame,Age (Ma relative to K-Pg),d18O,Temperature (deg C),?Temperature
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.67,mcd,66.4835,D.-T. et al. 2014,-0.4615,-0.162,10.12,0.72
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.69,mcd,66.4846,D.-T. et al. 2014,-0.4626,0.005,9.38,-0.02
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.73,mcd,66.4868,D.-T. et al. 2014,-0.4648,-0.062,9.67,0.27
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.76,mcd,66.4884,D.-T. et al. 2014,-0.4664,-0.071,9.71,0.31
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.79,mcd,66.49,D.-T. et al. 2014,-0.468,-0.057,9.65,0.25
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.82,mcd,66.4916,D.-T. et al. 2014,-0.4696,-0.41,11.22,1.83
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.85,mcd,66.4933,D.-T. et al. 2014,-0.4713,-0.096,9.82,0.42
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.88,mcd,66.4949,D.-T. et al. 2014,-0.4729,-0.229,10.42,1.02
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.91,mcd,66.4965,D.-T. et al. 2014,-0.4745,-0.202,10.29,0.9
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.94,mcd,66.4981,D.-T. et al. 2014,-0.4761,-0.083,9.76,0.37
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,225.97,mcd,66.4997,D.-T. et al. 2014,-0.4777,-0.129,9.97,0.57
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226,mcd,66.5014,D.-T. et al. 2014,-0.4794,-0.174,10.17,0.77
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.03,mcd,66.503,D.-T. et al. 2014,-0.481,-0.083,9.76,0.37
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.06,mcd,66.5046,D.-T. et al. 2014,-0.4826,-0.004,9.42,0.02
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.09,mcd,66.5062,D.-T. et al. 2014,-0.4842,-0.185,10.22,0.82
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.12,mcd,66.5079,D.-T. et al. 2014,-0.4859,-0.192,10.25,0.85
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.15,mcd,66.5095,D.-T. et al. 2014,-0.4875,-0.121,9.93,0.54
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.18,mcd,66.5111,D.-T. et al. 2014,-0.4891,-0.142,10.03,0.63
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.21,mcd,66.5127,D.-T. et al. 2014,-0.4907,-0.187,10.22,0.83
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.24,mcd,66.5143,D.-T. et al. 2014,-0.4923,-0.114,9.9,0.51
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.27,mcd,66.516,D.-T. et al. 2014,-0.494,-0.028,9.52,0.12
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.3,mcd,66.5176,D.-T. et al. 2014,-0.4956,-0.101,9.85,0.45
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.33,mcd,66.5192,D.-T. et al. 2014,-0.4972,-0.053,9.63,0.23
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.36,mcd,66.5208,D.-T. et al. 2014,-0.4988,0.002,9.39,-0.01
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.39,mcd,66.5225,D.-T. et al. 2014,-0.5005,-0.105,9.86,0.46
d18O_bulk,Kroon et al. (2007)/Birch et al. (2016),ODP 1262,226.42,mcd,66.524,D.-T. et al. 2014,-0.502,0.015,9.33,-0.07
